[21:43:51 17-05-2023] temp:42.41, humid:18.12, atm:1003.66
[21:44:21 17-05-2023] temp:44.78, humid:14.14, atm:1000.28
[21:44:51 17-05-2023] temp:42.40, humid:10.93, atm:995.68
[21:45:21 17-05-2023] temp:44.63, humid:13.97, atm:990.07
[21:45:51 17-05-2023] temp:42.34, humid:10.90, atm:994.04
[21:46:21 17-05-2023] temp:40.61, humid:14.34, atm:998.17
[21:46:51 17-05-2023] temp:39.31, humid:17.56, atm:1002.10
[22:07:30 17-05-2023] temp:34.75, humid:38.42, atm:1015.92
[22:07:35 17-05-2023] temp:35.33, humid:41.62, atm:1016.65
[22:07:40 17-05-2023] temp:35.44, humid:41.76, atm:1017.01
[22:07:45 17-05-2023] temp:36.53, humid:44.54, atm:1017.51
[22:07:50 17-05-2023] temp:37.41, humid:45.62, atm:1018.56
[22:07:55 17-05-2023] temp:37.70, humid:49.85, atm:1018.93
[22:08:00 17-05-2023] temp:38.20, humid:53.04, atm:1019.21
[22:08:05 17-05-2023] temp:38.30, humid:54.27, atm:1019.80
[22:08:10 17-05-2023] temp:38.66, humid:58.16, atm:1017.93
[22:08:15 17-05-2023] temp:39.33, humid:62.29, atm:1019.24
[22:08:20 17-05-2023] temp:37.51, humid:62.40, atm:1015.66
[22:08:25 17-05-2023] temp:38.00, humid:66.47, atm:1015.98
[22:08:30 17-05-2023] temp:38.03, humid:68.82, atm:1015.98
[22:08:35 17-05-2023] temp:38.14, humid:70.95, atm:1016.34
[22:08:40 17-05-2023] temp:39.30, humid:75.12, atm:1016.83
[22:08:45 17-05-2023] temp:37.55, humid:78.92, atm:1016.89
[22:08:50 17-05-2023] temp:38.46, humid:74.01, atm:1017.49
[22:08:55 17-05-2023] temp:38.98, humid:74.18, atm:1018.60
[22:09:00 17-05-2023] temp:39.28, humid:75.88, atm:1019.95
[22:09:05 17-05-2023] temp:39.81, humid:79.84, atm:1016.97
[22:09:10 17-05-2023] temp:35.56, humid:72.90, atm:1017.27
[22:09:15 17-05-2023] temp:36.00, humid:73.17, atm:1017.98
[22:09:20 17-05-2023] temp:37.08, humid:73.34, atm:1019.06
[22:09:25 17-05-2023] temp:37.53, humid:77.13, atm:1019.51
[22:09:30 17-05-2023] temp:38.22, humid:79.47, atm:1016.96
[22:09:35 17-05-2023] temp:38.26, humid:75.85, atm:1017.14
